,,Value Retreival,,Trend Detection,,Outlier Detection,,ECR Average,,,,,,,
,Group,Q1,ECR-1a,Q2,ECR-1b,Q3,ECR-1c,ECR Average,,,,,,,ECR Average 
Line Graph,Claude-1,0.02245666667,0.008363333333,0.004826666667,0.001073333333,0.1669066667,0.00713,0.005522222222,,,,,Line Graph,Claude,0.00552
Color Map,Claude-2,0.1131241379,0.02164827586,0.01185714286,0.000724137931,0.2608,0.005793103448,0.009388505747,,,,,Color Map,Claude,0.009388
Isolines,Claude-3,0.09398333333,0.02237,0.01927,0.001553333333,0.1837433333,0.004366666667,0.00943,,,,,Isolines,Claude,0.00943
Glyphs,Claude-4,0.07337333333,0.05164,0.09440333333,0.00264,0.2187,0.01832,0.0242,,,,,Glyphs,Claude,0.0242
Line Graph,GPT-1,0.00037,0.0002033333333,0.00033,0.0002066666667,0.16842,0.03380666667,0.01140555556,,,,,Line Graph,GPT,0.011405
Color Map,GPT-2,0.05856333333,0.03644666667,0.00132,0.0005366666667,0.15275,0.002066666667,0.01301666667,,,,,Color Map,GPT,0.013016
Isolines,GPT-3,0.02452666667,0.02255666667,0.002546666667,0.001176666667,0.17396,0.0009466666667,0.008226666667,,,,,Isolines,GPT,0.008226
Glyphs,GPT-4,0.06493,0.03718666667,0.01153,0.001776666667,0.22219,0.00171,0.01355777778,,,,,Glyphs,GPT,0.013557
Line Graph,Gemini-1,0.0004166666667,0,0.0001666666667,0,0.1519166667,0.00008333333333,0.00002777777778,,,,,Line Graph,Gemini,0.000002777
Color Map,Gemini-2,0.2225,0.0001666666667,0.0005,0,0.3905833333,0.03333333333,0.01116666667,,,,,Color Map,Gemini,0.01116
Isolines,Gemini-3,0.05716666667,0.03008333333,0.03383333333,0,0.3319166667,0,0.01002777778,,,,,Isolines,Gemini,0.01002
Glyphs,Gemini-4,0.148,0.06666666667,0.2074166667,0.00008333333333,0.32825,0.00008333333333,0.02227777778,,,,,Glyphs,Gemini,0.022278
