Model_Type,Term,Estimate,Std_Error,z_or_t,p_value,CI_Lower,CI_Upper
OLS on aggregated mean Brier scores,Intercept,0.09258597586795074,0.02334661223643084,3.9657135232441334,0.0002169794459785913,0.0457788365457727,0.13939311519012879
OLS on aggregated mean Brier scores,C(Question_Type)[T.Trend_Detection],0.009015555566666576,0.03172179943246786,0.2842069405885905,0.7773387825317699,-0.054582823099543896,0.07261393423287704
OLS on aggregated mean Brier scores,C(Question_Type)[T.Outlier_Detection],0.16094555555666665,0.031721799432467855,5.073657813747346,4.935399414824338e-06,0.09734717689045619,0.2245439342228771
OLS on aggregated mean Brier scores,C(Question_Type)[T.ECR],-0.0754225925907049,0.025900740777485116,-2.911985924984351,0.005211400985416164,-0.12735045132421263,-0.023494733857197157
OLS on aggregated mean Brier scores,C(Visualization_Type)[T.Color_Map],0.03596137929999979,0.03172179943246784,1.1336487823320849,0.2619498457925644,-0.02763699936621064,0.09955975796621022
OLS on aggregated mean Brier scores,C(Visualization_Type)[T.Isoline],-0.0368755555533335,0.031721799432467813,-1.1624673320262762,0.25015752073100844,-0.10047393421954387,0.026722823112876874
OLS on aggregated mean Brier scores,C(Visualization_Type)[T.Line_Graph],-0.08768666666443362,0.031721799432467834,-2.764239993733922,0.007788731469749783,-0.15128504533064402,-0.0240882879982232
OLS on aggregated mean Brier scores,C(Model)[T.GPT],-0.016208755471275288,0.011215349745068806,-1.4452296040435115,0.15417192058235038,-0.038694177884948944,0.006276666942398364
OLS on aggregated mean Brier scores,C(Model)[T.Gemini],0.024754161197420143,0.011215349745068798,2.2071680117068246,0.031572633017875204,0.002268738783746508,0.047239583611093774
OLS on aggregated mean Brier scores,C(Question_Type)[T.Trend_Detection]:C(Visualization_Type)[T.Color_Map],-0.13585233168999986,0.04486139898027515,-3.0282678377848176,0.0037667557780715726,-0.2257940213446943,-0.0459106420353054
OLS on aggregated mean Brier scores,C(Question_Type)[T.Outlier_Detection]:C(Visualization_Type)[T.Color_Map],-0.024296934866666717,0.044861398980275184,-0.5416000262798242,0.5903218156832839,-0.11423862452136124,0.06564475478802781
OLS on aggregated mean Brier scores,C(Question_Type)[T.ECR]:C(Visualization_Type)[T.Color_Map],-0.044782618126029156,0.03662917888302928,-1.2225941037072348,0.2267924224343145,-0.1182197002119499,0.028654463959891588
OLS on aggregated mean Brier scores,C(Question_Type)[T.Trend_Detection]:C(Visualization_Type)[T.Isoline],-0.04902444445766667,0.04486139898027515,-1.09279794148243,0.27933385911377484,-0.13896613411236114,0.04091724519702779
OLS on aggregated mean Brier scores,C(Question_Type)[T.Outlier_Detection]:C(Visualization_Type)[T.Isoline],0.010368888886666566,0.044861398980275156,0.2311316437373164,0.8180860640723326,-0.0795728007680279,0.10031057854136104
OLS on aggregated mean Brier scores,C(Question_Type)[T.ECR]:C(Visualization_Type)[T.Isoline],0.02609185184889308,0.03662917888302928,0.7123242356104722,0.47933057689825564,-0.04734523023702766,0.09952893393481382
OLS on aggregated mean Brier scores,C(Question_Type)[T.Trend_Detection]:C(Visualization_Type)[T.Line_Graph],-0.01498888890099986,0.04486139898027521,-0.3341155033437592,0.7395865479220214,-0.10493057855569445,0.07495280075369472
OLS on aggregated mean Brier scores,C(Question_Type)[T.Outlier_Detection]:C(Visualization_Type)[T.Line_Graph],-0.006278888868899962,0.044861398980275184,-0.13996194973011622,0.889210798639263,-0.09622057852359449,0.08366280078579456
OLS on aggregated mean Brier scores,C(Question_Type)[T.ECR]:C(Visualization_Type)[T.Line_Graph],0.07332666666395209,0.03662917888302928,2.0018648765813634,0.050333358600434606,-0.00011041542196865706,0.14676374874987283
