Question_Type,Visualization_Type,Model,Mean_Question_Brier,SD_Question_Brier,N
Value_Retrieval,Arrow_Glyph,Claude,0.07337333333,,1
Value_Retrieval,Arrow_Glyph,GPT,0.06493,,1
Value_Retrieval,Arrow_Glyph,Gemini,0.148,,1
Value_Retrieval,Color_Map,Claude,0.1131241379,,1
Value_Retrieval,Color_Map,GPT,0.05856333333,,1
Value_Retrieval,Color_Map,Gemini,0.2225,,1
Value_Retrieval,Isoline,Claude,0.09398333333,,1
Value_Retrieval,Isoline,GPT,0.02452666667,,1
Value_Retrieval,Isoline,Gemini,0.05716666667,,1
Value_Retrieval,Line_Graph,Claude,0.02245666667,,1
Value_Retrieval,Line_Graph,GPT,0.00037,,1
Value_Retrieval,Line_Graph,Gemini,0.0004166666667,,1
Trend_Detection,Arrow_Glyph,Claude,0.09440333333,,1
Trend_Detection,Arrow_Glyph,GPT,0.01153,,1
Trend_Detection,Arrow_Glyph,Gemini,0.2074166667,,1
Trend_Detection,Color_Map,Claude,0.01185714286,,1
Trend_Detection,Color_Map,GPT,0.00132,,1
Trend_Detection,Color_Map,Gemini,0.0005,,1
Trend_Detection,Isoline,Claude,0.01927,,1
Trend_Detection,Isoline,GPT,0.002546666667,,1
Trend_Detection,Isoline,Gemini,0.03383333333,,1
Trend_Detection,Line_Graph,Claude,0.004826666667,,1
Trend_Detection,Line_Graph,GPT,0.00033,,1
Trend_Detection,Line_Graph,Gemini,0.0001666666667,,1
Outlier_Detection,Arrow_Glyph,Claude,0.2187,,1
Outlier_Detection,Arrow_Glyph,GPT,0.22219,,1
Outlier_Detection,Arrow_Glyph,Gemini,0.32825,,1
Outlier_Detection,Color_Map,Claude,0.2608,,1
Outlier_Detection,Color_Map,GPT,0.15275,,1
Outlier_Detection,Color_Map,Gemini,0.3905833333,,1
Outlier_Detection,Isoline,Claude,0.1837433333,,1
Outlier_Detection,Isoline,GPT,0.17396,,1
Outlier_Detection,Isoline,Gemini,0.3319166667,,1
Outlier_Detection,Line_Graph,Claude,0.1669066667,,1
Outlier_Detection,Line_Graph,GPT,0.16842,,1
Outlier_Detection,Line_Graph,Gemini,0.1519166667,,1
ECR,Arrow_Glyph,Claude,0.0242,0.02502360485621526,3
ECR,Arrow_Glyph,GPT,0.013557777779000002,0.020463245191771017,3
ECR,Arrow_Glyph,Gemini,0.022277777778886666,0.038441905425469006,3
ECR,Color_Map,Claude,0.009388505746333334,0.010915588636582983,3
ECR,Color_Map,GPT,0.0130166666679,0.020305390911628224,3
ECR,Color_Map,Gemini,0.011166666665566665,0.019197077321913412,3
ECR,Isoline,Claude,0.009430000000000001,0.01129430879301823,3
ECR,Isoline,GPT,0.0082266666679,0.01241067685685088,3
ECR,Isoline,Gemini,0.010027777776666667,0.017368620596196743,3
ECR,Line_Graph,Claude,0.005522222221999999,0.0039018889063597083,3
ECR,Line_Graph,GPT,0.011405555556666667,0.019399931368737043,3
ECR,Line_Graph,Gemini,2.777777777666667e-05,4.811252243054432e-05,3
