Row_Label,Row_Brier,Accuracy,Modality,Dataset_ID,Visualization_Type,Model,Row_Brier_raw,Accuracy_raw
Vis-1A Claude,0.014517,1.0,Vis,1A,Line_Graph,Claude,0.014517,1
Dat-1A Claude,0.0032,1.0,Dat,1A,Line_Graph,Claude,0.003200,1
Par-1A Claude,0.005917,1.0,Par,1A,Line_Graph,Claude,0.005917,1
Vis-1A GPT,0.002967,1.0,Vis,1A,Line_Graph,GPT,0.002967,1
Dat-1A GPT,0.151033,0.8333333333,Dat,1A,Line_Graph,GPT,0.151033,0.8333333333
Par-1A GPT,0.123167,0.8333333333,Par,1A,Line_Graph,GPT,0.123167,0.8333333333
Vis-1A Gemini,0.000417,1.0,Vis,1A,Line_Graph,Gemini,0.000417,1
Dat-1A Gemini,0.000417,1.0,Dat,1A,Line_Graph,Gemini,0.000417,1
Par-1A Gemini,0.000417,1.0,Par,1A,Line_Graph,Gemini,0.000417,1
Vis-1B Claude,0.026017,1.0,Vis,1B,Line_Graph,Claude,0.026017,1
Dat-1B Claude,0.009267,1.0,Dat,1B,Line_Graph,Claude,0.009267,1
Par-1B Claude,0.00935,1.0,Par,1B,Line_Graph,Claude,0.009350,1
Vis-1B GPT,0.002483,1.0,Vis,1B,Line_Graph,GPT,0.002483,1
Dat-1B GPT,0.003383,1.0,Dat,1B,Line_Graph,GPT,0.003383,1
Par-1B GPT,0.004083,1.0,Par,1B,Line_Graph,GPT,0.004083,1
Vis-1B Gemini,0.000833,1.0,Vis,1B,Line_Graph,Gemini,0.000833,1
Dat-1B Gemini,0.000833,1.0,Dat,1B,Line_Graph,Gemini,0.000833,1
Par-1B Gemini,0.000417,1.0,Par,1B,Line_Graph,Gemini,0.000417,1
Vis-1C Claude,0.113783,0.8333333333,Vis,1C,Line_Graph,Claude,0.113783,0.8333333333
Dat-1C Claude,0.057333,1.0,Dat,1C,Line_Graph,Claude,0.057333,1
Par-1C Claude,0.024417,1.0,Par,1C,Line_Graph,Claude,0.024417,1
Vis-1C GPT,0.003583,1.0,Vis,1C,Line_Graph,GPT,0.003583,1
Dat-1C GPT,0.002467,1.0,Dat,1C,Line_Graph,GPT,0.002467,1
Par-1C GPT,0.132083,0.8333333333,Par,1C,Line_Graph,GPT,0.132083,0.8333333333
Vis-1C Gemini,0.000833,1.0,Vis,1C,Line_Graph,Gemini,0.000833,1
Dat-1C Gemini,0.000417,1.0,Dat,1C,Line_Graph,Gemini,0.000417,1
Par-1C Gemini,0.000417,1.0,Par,1C,Line_Graph,Gemini,0.000417,1
Vis-1D Claude,0.031983,1.0,Vis,1D,Line_Graph,Claude,0.031983,1
Dat-1D Claude,0.0012,1.0,Dat,1D,Line_Graph,Claude,0.001200,1
Par-1D Claude,0.00175,1.0,Par,1D,Line_Graph,Claude,0.001750,1
Vis-1D GPT,0.002283,1.0,Vis,1D,Line_Graph,GPT,0.002283,1
Dat-1D GPT,0.00085,1.0,Dat,1D,Line_Graph,GPT,0.000850,1
Par-1D GPT,0.00085,1.0,Par,1D,Line_Graph,GPT,0.000850,1
Vis-1D Gemini,0.000833,1.0,Vis,1D,Line_Graph,Gemini,0.000833,1
Dat-1D Gemini,0.000417,1.0,Dat,1D,Line_Graph,Gemini,0.000417,1
Par-1D Gemini,0.0,1.0,Par,1D,Line_Graph,Gemini,0.000000,1
Vis-1E Claude,0.080033,0.8333333333,Vis,1E,Line_Graph,Claude,0.080033,0.8333333333
Dat-1E Claude,0.055883,1.0,Dat,1E,Line_Graph,Claude,0.055883,1
Par-1E Claude,0.0148,1.0,Par,1E,Line_Graph,Claude,0.014800,1
Vis-1E GPT,0.002883,1.0,Vis,1E,Line_Graph,GPT,0.002883,1
Dat-1E GPT,0.008383,1.0,Dat,1E,Line_Graph,GPT,0.008383,1
Par-1E GPT,0.001767,1.0,Par,1E,Line_Graph,GPT,0.001767,1
Vis-1E Gemini,0.000417,1.0,Vis,1E,Line_Graph,Gemini,0.000417,1
Dat-1E Gemini,0.000417,1.0,Dat,1E,Line_Graph,Gemini,0.000417,1
Par-1E Gemini,0.0,1.0,Par,1E,Line_Graph,Gemini,0.000000,1
Vis-1F Claude,0.03215,1.0,Vis,1F,Line_Graph,Claude,0.032150,1
Dat-1F Claude,0.00255,1.0,Dat,1F,Line_Graph,Claude,0.002550,1
Par-1F Claude,0.002983,1.0,Par,1F,Line_Graph,Claude,0.002983,1
Vis-1F GPT,0.0066,1.0,Vis,1F,Line_Graph,GPT,0.006600,1
Dat-1F GPT,0.160567,0.8333333333,Dat,1F,Line_Graph,GPT,0.160567,0.8333333333
Par-1F GPT,0.000667,1.0,Par,1F,Line_Graph,GPT,0.000667,1
Vis-1F Gemini,0.150833,0.8333333333,Vis,1F,Line_Graph,Gemini,0.150833,0.8333333333
Dat-1F Gemini,0.000417,1.0,Dat,1F,Line_Graph,Gemini,0.000417,1
Par-1F Gemini,0.0,1.0,Par,1F,Line_Graph,Gemini,0.000000,1
Vis-1G Claude,0.021233,1.0,Vis,1G,Line_Graph,Claude,0.021233,1
Dat-1G Claude,0.025383,1.0,Dat,1G,Line_Graph,Claude,0.025383,1
Par-1G Claude,0.038617,1.0,Par,1G,Line_Graph,Claude,0.038617,1
Vis-1G GPT,0.12935,0.8333333333,Vis,1G,Line_Graph,GPT,0.129350,0.8333333333
Dat-1G GPT,0.132033,0.8333333333,Dat,1G,Line_Graph,GPT,0.132033,0.8333333333
Par-1G GPT,0.129183,0.8333333333,Par,1G,Line_Graph,GPT,0.129183,0.8333333333
Vis-1G Gemini,0.001667,1.0,Vis,1G,Line_Graph,Gemini,0.001667,1
Dat-1G Gemini,0.135,0.8333333333,Dat,1G,Line_Graph,Gemini,0.135000,0.8333333333
Par-1G Gemini,0.150417,0.8333333333,Par,1G,Line_Graph,Gemini,0.150417,0.8333333333
Vis-1H Claude,0.1365,0.8333333333,Vis,1H,Line_Graph,Claude,0.136500,0.8333333333
Dat-1H Claude,0.0256,1.0,Dat,1H,Line_Graph,Claude,0.025600,1
Par-1H Claude,0.028933,1.0,Par,1H,Line_Graph,Claude,0.028933,1
Vis-1H GPT,0.00175,1.0,Vis,1H,Line_Graph,GPT,0.001750,1
Dat-1H GPT,0.001867,1.0,Dat,1H,Line_Graph,GPT,0.001867,1
Par-1H GPT,0.00075,1.0,Par,1H,Line_Graph,GPT,0.000750,1
Vis-1H Gemini,0.0,1.0,Vis,1H,Line_Graph,Gemini,0.000000,1
Dat-1H Gemini,0.000417,1.0,Dat,1H,Line_Graph,Gemini,0.000417,1
Par-1H Gemini,0.0,1.0,Par,1H,Line_Graph,Gemini,0.000000,1
Vis-1I Claude,0.040117,1.0,Vis,1I,Line_Graph,Claude,0.040117,1
Dat-1I Claude,0.033833,1.0,Dat,1I,Line_Graph,Claude,0.033833,1
Par-1I Claude,0.02415,1.0,Par,1I,Line_Graph,Claude,0.024150,1
Vis-1I GPT,0.00295,1.0,Vis,1I,Line_Graph,GPT,0.002950,1
Dat-1I GPT,0.001083,1.0,Dat,1I,Line_Graph,GPT,0.001083,1
Par-1I GPT,0.000433,1.0,Par,1I,Line_Graph,GPT,0.000433,1
Vis-1I Gemini,0.0,1.0,Vis,1I,Line_Graph,Gemini,0.000000,1
Dat-1I Gemini,0.0,1.0,Dat,1I,Line_Graph,Gemini,0.000000,1
Par-1I Gemini,0.0,1.0,Par,1I,Line_Graph,Gemini,0.000000,1
Vis-1J Claude,0.122817,0.8333333333,Vis,1J,Line_Graph,Claude,0.122817,0.8333333333
Dat-1J Claude,0.038933,1.0,Dat,1J,Line_Graph,Claude,0.038933,1
Par-1J Claude,0.030533,0.8333333333,Par,1J,Line_Graph,Claude,0.030533,0.8333333333
Vis-1J GPT,0.002633,1.0,Vis,1J,Line_Graph,GPT,0.002633,1
