Modality,Visualization_Type,Model,Mean_Row_Brier,SD_Row_Brier,N_Row_Brier,Mean_Accuracy,SD_Accuracy,N_Accuracy
Dat,Arrow_Glyph,Claude,0.0733317,0.06995861401500175,10,0.91666666666,0.11785113019775789,10
Dat,Arrow_Glyph,GPT,0.0517386,0.06537637316373894,10,0.94999999999,0.08050764860604284,10
Dat,Arrow_Glyph,Gemini,0.07712519999999999,0.10963337076192733,10,0.91666666666,0.11785113019775789,10
Dat,Color_Map,Claude,0.055207700000000005,0.03721992798383982,10,0.91666666665,0.0878410461333565,10
Dat,Color_Map,GPT,0.0271368,0.05114372568404109,10,0.9666666666599999,0.07027283690668522,10
Dat,Color_Map,Gemini,0.12016679999999999,0.09576026528530042,10,0.8666666666499999,0.10540925533894602,10
Dat,Isoline,Claude,0.0325849,0.024005265725345438,10,0.94999999999,0.08050764860604283,10
Dat,Isoline,GPT,0.016951600000000004,0.044793467443367235,10,0.9833333333300001,0.0527046276800139,10
Dat,Isoline,Gemini,0.040166799999999996,0.06302269246478694,10,0.94999999999,0.08050764860604283,10
Dat,Line_Graph,Claude,0.025318200000000003,0.021249933128260793,10,1.0,0.0,10
Dat,Line_Graph,GPT,0.0463783,0.07040647286538677,10,0.94999999999,0.08050764860604281,10
Dat,Line_Graph,Gemini,0.0288752,0.0601056841105731,10,0.9666666666599999,0.0702728369066852,10
Par,Arrow_Glyph,Claude,0.0412232,0.020821556750423614,10,0.9833333333300001,0.05270462768001393,10
Par,Arrow_Glyph,GPT,0.051516700000000006,0.059203135876122866,10,0.93333333332,0.08606629659960024,10
Par,Arrow_Glyph,Gemini,0.10375000000000001,0.1649497577829888,10,0.8833333333300001,0.176558317576116,10
Par,Color_Map,Claude,0.04539622222222222,0.035147786252400656,9,0.9629629629555555,0.07349309198871502,9
Par,Color_Map,GPT,0.04180840000000001,0.13028149586031013,10,0.25,0.4249182927993987,10
Par,Color_Map,Gemini,0.0679169,0.08536024279155568,10,0.93333333332,0.08606629659960027,10
Par,Isoline,Claude,0.0355866,0.03403687610747431,10,0.93333333332,0.08606629659960026,10
Par,Isoline,GPT,0.0198483,0.045256594014451514,10,0.9833333333300001,0.0527046276800139,10
Par,Isoline,Gemini,0.07429179999999999,0.10850288815387973,10,0.9166666666600001,0.11785113019775792,10
Par,Line_Graph,Claude,0.018145,0.012914641062676802,10,0.9833333333300001,0.05270462768001391,10
Par,Line_Graph,GPT,0.039541599999999996,0.061188710838229333,10,0.94999999999,0.08050764860604283,10
Par,Line_Graph,Gemini,0.0151668,0.04752248278867593,10,0.9833333333300001,0.0527046276800139,10
Vis,Arrow_Glyph,Claude,0.11498329999999998,0.036947830990465474,10,0.8833333333200001,0.11249142628618963,10
Vis,Arrow_Glyph,GPT,0.06640660000000001,0.05687599102765399,10,0.91666666665,0.08784104613335648,10
Vis,Arrow_Glyph,Gemini,0.19437500000000002,0.14959375054014346,10,0.7833333333100001,0.15811388300022047,10
Vis,Color_Map,Claude,0.1052549,0.045607750538818624,10,0.89999999998,0.0860662965996003,10
Vis,Color_Map,GPT,0.0568966,0.08667756296656143,10,0.93333333333,0.11653431646123134,10
Vis,Color_Map,Gemini,0.1354582,0.14957664680230742,10,0.84999999999,0.16573815433268507,10
Vis,Isoline,Claude,0.0944717,0.04575495329360528,10,0.8833333333300001,0.13721210038377957,10
Vis,Isoline,GPT,0.0760565,0.09329617979466136,10,0.9,0.1405456737764772,10
Vis,Isoline,Gemini,0.1120417,0.12561518810066982,10,0.8666666666699999,0.15315609723254955,10
Vis,Line_Graph,Claude,0.061915,0.04683045277262317,10,0.93333333332,0.08606629659960027,10
Vis,Line_Graph,GPT,0.0157482,0.03993738460473678,10,0.9833333333300001,0.0527046276800139,10
Vis,Line_Graph,Gemini,0.03225,0.06677746302458637,10,0.9666666666599999,0.0702728369066852,10
