,,,,,,,,,,,,,,,,,,,,,
Row_Label,Q1,Confid-1,ECR-1,CECR-1,Q2,Confid-2,ECR-2,CECR-2,Q3,Confid-3,ECR-3,CECR-3,,Brier-Q1,Brier-ECR1,Brier-Q2,Brier-ECR2,Brier-Q3,Brier-ECR3,Row Brier,Row ACC
Vis-1A Claude,1,78%,1,92%,1,92%,1,97%,1,85%,1,95%,Vis-1A Claude,0.0484,0.0064,0.0064,0.0009,0.0225,0.0025,0.014517,1
Dat-1A Claude,1,99%,1,99%,1,99%,1,95%,1,90%,1,92%,Dat-1A Claude,0.0001,0.0001,0.0001,0.0025,0.01,0.0064,0.003200,1
Par-1A Claude,1,99%,1,99%,1,99%,1,88%,1,88%,1,92%,Par-1A Claude,0.0001,0.0001,0.0001,0.0144,0.0144,0.0064,0.005917,1
Vis-1A GPT,1,94%,1,98%,1,98%,1,97%,1,90%,1,95%,Vis-1A GPT,0.0036,0.0004,0.0004,0.0009,0.01,0.0025,0.002967,1
Dat-1A GPT,1,100%,1,98%,1,99%,1,96%,0,95%,1,96%,Dat-1A GPT,0,0.0004,0.0001,0.0016,0.9025,0.0016,0.151033,0.8333333333
Par-1A GPT,1,100%,1,98%,1,99%,1,96%,0,85%,1,88%,Par-1A GPT,0,0.0004,0.0001,0.0016,0.7225,0.0144,0.123167,0.8333333333
Vis-1A Gemini,1,100%,1,100%,1,100%,1,100%,1,95%,1,100%,Vis-1A Gemini,0,0,0,0,0.0025,0,0.000417,1
Dat-1A Gemini,1,100%,1,100%,1,100%,1,100%,1,95%,1,100%,Dat-1A Gemini,0,0,0,0,0.0025,0,0.000417,1
Par-1A Gemini,1,100%,1,100%,1,100%,1,100%,1,95%,1,100%,Par-1A Gemini,0,0,0,0,0.0025,0,0.000417,1
Vis-1B Claude,1,72%,1,85%,1,92%,1,92%,1,82%,1,90%,Vis-1B Claude,0.0784,0.0225,0.0064,0.0064,0.0324,0.01,0.026017,1
Dat-1B Claude,1,99%,1,99%,1,98%,1,99%,1,82%,1,85%,Dat-1B Claude,0.0001,0.0001,0.0004,0.0001,0.0324,0.0225,0.009267,1
Par-1B Claude,1,99%,1,99%,1,97%,1,99%,1,82%,1,85%,Par-1B Claude,0.0001,0.0001,0.0009,0.0001,0.0324,0.0225,0.009350,1
Vis-1B GPT,1,98%,1,98%,1,98%,1,99%,1,90%,1,94%,Vis-1B GPT,0.0004,0.0004,0.0004,0.0001,0.01,0.0036,0.002483,1
Dat-1B GPT,1,100%,1,100%,1,99%,1,100%,1,89%,1,91%,Dat-1B GPT,0,0,0.0001,0,0.0121,0.0081,0.003383,1
Par-1B GPT,1,100%,1,100%,1,99%,1,100%,1,88%,1,90%,Par-1B GPT,0,0,0.0001,0,0.0144,0.01,0.004083,1
Vis-1B Gemini,1,95%,1,100%,1,100%,1,100%,1,95%,1,100%,Vis-1B Gemini,0.0025,0,0,0,0.0025,0,0.000833,1
Dat-1B Gemini,1,100%,1,100%,1,100%,1,100%,1,95%,1,95%,Dat-1B Gemini,0,0,0,0,0.0025,0.0025,0.000833,1
Par-1B Gemini,1,100%,1,100%,1,100%,1,100%,1,95%,1,100%,Par-1B Gemini,0,0,0,0,0.0025,0,0.000417,1
Vis-1C Claude,1,55%,1,85%,1,82%,1,97%,0,62%,1,80%,Vis-1C Claude,0.2025,0.0225,0.0324,0.0009,0.3844,0.04,0.113783,0.8333333333
Dat-1C Claude,1,99%,1,99%,1,92%,1,99%,1,42%,1,97%,Dat-1C Claude,0.0001,0.0001,0.0064,0.0001,0.3364,0.0009,0.057333,1
Par-1C Claude,1,99%,1,99%,1,97%,1,99%,1,62%,1,97%,Par-1C Claude,0.0001,0.0001,0.0009,0.0001,0.1444,0.0009,0.024417,1
Vis-1C GPT,1,98%,1,98%,1,97%,1,99%,1,86%,1,99%,Vis-1C GPT,0.0004,0.0004,0.0009,0.0001,0.0196,0.0001,0.003583,1
Dat-1C GPT,1,100%,1,100%,1,98%,1,100%,1,88%,1,100%,Dat-1C GPT,0,0,0.0004,0,0.0144,0,0.002467,1
Par-1C GPT,1,100%,1,100%,1,98%,1,100%,0,89%,1,100%,Par-1C GPT,0,0,0.0004,0,0.7921,0,0.132083,0.8333333333
Vis-1C Gemini,1,95%,1,100%,1,95%,1,100%,1,100%,1,100%,Vis-1C Gemini,0.0025,0,0.0025,0,0,0,0.000833,1
Dat-1C Gemini,1,100%,1,100%,1,100%,1,100%,1,95%,1,100%,Dat-1C Gemini,0,0,0,0,0.0025,0,0.000417,1
Par-1C Gemini,1,100%,1,100%,1,95%,1,100%,1,100%,1,100%,Par-1C Gemini,0,0,0.0025,0,0,0,0.000417,1
Vis-1D Claude,1,82%,1,72%,1,95%,1,99%,1,72%,1,99%,Vis-1D Claude,0.0324,0.0784,0.0025,0.0001,0.0784,0.0001,0.031983,1
Dat-1D Claude,1,99%,1,99%,1,98%,1,99%,1,92%,1,99%,Dat-1D Claude,0.0001,0.0001,0.0004,0.0001,0.0064,0.0001,0.001200,1
Par-1D Claude,1,99%,1,99%,1,99%,1,99%,1,90%,1,99%,Par-1D Claude,0.0001,0.0001,0.0001,0.0001,0.01,0.0001,0.001750,1
Vis-1D GPT,1,99%,1,97%,1,98%,1,99%,1,89%,1,99%,Vis-1D GPT,0.0001,0.0009,0.0004,0.0001,0.0121,0.0001,0.002283,1
Dat-1D GPT,1,100%,1,100%,1,99%,1,100%,1,93%,1,99%,Dat-1D GPT,0,0,0.0001,0,0.0049,0.0001,0.000850,1
Par-1D GPT,1,100%,1,100%,1,99%,1,100%,1,93%,1,99%,Par-1D GPT,0,0,0.0001,0,0.0049,0.0001,0.000850,1
Vis-1D Gemini,1,95%,1,100%,1,100%,1,100%,1,95%,1,100%,Vis-1D Gemini,0.0025,0,0,0,0.0025,0,0.000833,1
Dat-1D Gemini,1,100%,1,100%,1,100%,1,100%,1,95%,1,100%,Dat-1D Gemini,0,0,0,0,0.0025,0,0.000417,1
Par-1D Gemini,1,100%,1,100%,1,100%,1,100%,1,100%,1,100%,Par-1D Gemini,0,0,0,0,0,0,0.000000,1
Vis-1E Claude,1,72%,1,92%,1,97%,1,99%,0,62%,1,90%,Vis-1E Claude,0.0784,0.0064,0.0009,0.0001,0.3844,0.01,0.080033,0.8333333333
Dat-1E Claude,1,99%,1,99%,1,99%,1,99%,1,45%,1,82%,Dat-1E Claude,0.0001,0.0001,0.0001,0.0001,0.3025,0.0324,0.055883,1
Par-1E Claude,1,99%,1,99%,1,99%,1,99%,1,72%,1,90%,Par-1E Claude,0.0001,0.0001,0.0001,0.0001,0.0784,0.01,0.014800,1
Vis-1E GPT,1,98%,1,99%,1,98%,1,98%,1,88%,1,96%,Vis-1E GPT,0.0004,0.0001,0.0004,0.0004,0.0144,0.0016,0.002883,1
Dat-1E GPT,1,100%,1,99%,1,99%,1,99%,1,78%,1,96%,Dat-1E GPT,0,0.0001,0.0001,0.0001,0.0484,0.0016,0.008383,1
Par-1E GPT,1,100%,1,98%,1,99%,1,99%,1,92%,1,94%,Par-1E GPT,0,0.0004,0.0001,0.0001,0.0064,0.0036,0.001767,1
Vis-1E Gemini,1,95%,1,100%,1,100%,1,100%,1,100%,1,100%,Vis-1E Gemini,0.0025,0,0,0,0,0,0.000417,1
Dat-1E Gemini,1,100%,1,100%,1,100%,1,100%,1,95%,1,100%,Dat-1E Gemini,0,0,0,0,0.0025,0,0.000417,1
Par-1E Gemini,1,100%,1,100%,1,100%,1,100%,1,100%,1,100%,Par-1E Gemini,0,0,0,0,0,0,0.000000,1
Vis-1F Claude,1,72%,1,88%,1,88%,1,97%,1,72%,1,92%,Vis-1F Claude,0.0784,0.0144,0.0144,0.0009,0.0784,0.0064,0.032150,1
Dat-1F Claude,1,99%,1,99%,1,95%,1,99%,1,90%,1,95%,Dat-1F Claude,0.0001,0.0001,0.0025,0.0001,0.01,0.0025,0.002550,1
Par-1F Claude,1,99%,1,99%,1,98%,1,98%,1,88%,1,95%,Par-1F Claude,0.0001,0.0001,0.0004,0.0004,0.0144,0.0025,0.002983,1
Vis-1F GPT,1,93%,1,98%,1,97%,1,99%,1,82%,1,97%,Vis-1F GPT,0.0049,0.0004,0.0009,0.0001,0.0324,0.0009,0.006600,1
Dat-1F GPT,1,100%,1,100%,1,98%,1,99%,1,95%,0,98%,Dat-1F GPT,0,0,0.0004,0.0001,0.0025,0.9604,0.160567,0.8333333333
Par-1F GPT,1,100%,1,99%,1,98%,1,99%,1,95%,1,97%,Par-1F GPT,0,0.0001,0.0004,0.0001,0.0025,0.0009,0.000667,1
Vis-1F Gemini,1,95%,1,100%,1,100%,1,100%,0,95%,1,100%,Vis-1F Gemini,0.0025,0,0,0,0.9025,0,0.150833,0.8333333333
Dat-1F Gemini,1,100%,1,100%,1,100%,1,100%,1,95%,1,100%,Dat-1F Gemini,0,0,0,0,0.0025,0,0.000417,1
Par-1F Gemini,1,100%,1,100%,1,100%,1,100%,1,100%,1,100%,Par-1F Gemini,0,0,0,0,0,0,0.000000,1
Vis-1G Claude,1,82%,1,97%,1,88%,1,97%,1,72%,1,98%,Vis-1G Claude,0.0324,0.0009,0.0144,0.0009,0.0784,0.0004,0.021233,1
Dat-1G Claude,1,99%,1,99%,1,92%,1,98%,1,62%,1,97%,Dat-1G Claude,0.0001,0.0001,0.0064,0.0004,0.1444,0.0009,0.025383,1
Par-1G Claude,1,99%,1,99%,1,97%,1,99%,1,52%,1,99%,Par-1G Claude,0.0001,0.0001,0.0009,0.0001,0.2304,0.0001,0.038617,1
Vis-1G GPT,1,98%,1,98%,1,98%,1,99%,0,88%,1,98%,Vis-1G GPT,0.0004,0.0004,0.0004,0.0001,0.7744,0.0004,0.129350,0.8333333333
Dat-1G GPT,1,100%,1,100%,1,99%,1,100%,0,89%,1,100%,Dat-1G GPT,0,0,0.0001,0,0.7921,0,0.132033,0.8333333333
