Visualization_Type,Model,Mean_ECR_Brier,SD_ECR_Brier,N
Arrow_Glyph,Claude,0.03435,0.04892361921650298,30
Arrow_Glyph,GPT,0.006463333333333333,0.010948200397966004,30
Arrow_Glyph,Gemini,8.333333333333333e-05,0.0004564354645876385,30
Color_Map,Claude,0.020730000000000002,0.04260602312932471,30
Color_Map,GPT,0.005383333333333334,0.008500997236970996,30
Color_Map,Gemini,0.033499999999999995,0.1825438067404927,30
Isoline,Claude,0.024143333333333336,0.07060245518507781,30
Isoline,GPT,0.023473333333333332,0.11349229028450784,30
Isoline,Gemini,0.030083333333333333,0.16477320271613746,30
Line_Graph,Claude,0.011113333333333333,0.019123802343988864,30
Line_Graph,GPT,0.0005766666666666666,0.0007990008127971928,30
Line_Graph,Gemini,0.0,0.0,30
