# title: Monthly Average Temperature Across Nordic Cities (2023)
# table_type: time_series_matrix
# subject: average temperature
# unit: degrees Celsius (°C)
# index_column: Month
# entity_type: Nordic cities
Month,Oslo,Reykjavik,Stockholm,Copenhagen,Helsinki
Jan,-4.2,-1.2,-3.1,-1.2,-6.1
Feb,-3.8,-0.8,-3.4,-1.0,-6.8
Mar,0.5,1.2,0.8,2.4,-2.1
Apr,5.8,3.5,6.2,7.1,4.2
May,11.2,6.8,12.1,12.4,10.8
Jun,15.6,9.4,16.4,16.0,15.3
Jul,17.8,11.2,19.2,18.3,18.1
Aug,16.9,10.8,18.1,17.9,16.4
Sep,11.4,7.6,12.8,13.2,10.6
Oct,6.1,3.9,7.3,8.6,5.2
Nov,0.8,0.6,2.1,3.8,-0.4
Dec,-3.1,-0.9,-1.8,0.4,-4.2
