# title: Quarterly Retail Sales by Product Category (2018-2024)
# table_type: time_series_matrix
# subject: retail sales
# unit: million USD
# index_column: Quarter
# entity_type: product categories
Quarter,Electronics,Furniture,Grocery,Clothing,Sporting_Goods,Toys
2018-Q1,184,121,242,96,72,64
2018-Q3,201,128,248,109,78,71
2019-Q1,193,126,255,101,75,67
2019-Q3,214,136,262,116,82,76
2020-Q1,176,118,289,74,63,52
2020-Q3,228,149,301,97,88,79
2021-Q1,236,157,312,108,93,84
2021-Q3,254,166,319,121,101,92
2022-Q1,248,163,326,115,98,89
2022-Q3,266,171,334,126,104,95
2023-Q1,257,168,341,119,100,91
2023-Q3,278,177,349,131,108,98
2024-Q1,269,174,356,123,103,94
2024-Q3,291,183,364,136,111,102
