# title: Monthly Influenza Incidence Across Provinces (2022-2024)
# table_type: time_series_matrix
# subject: influenza incidence
# unit: cases per 100,000 persons
# index_column: Month
# entity_type: provinces
Month,Province_A,Province_B,Province_C,Province_D,Province_E,Province_F
2022-01,38,44,29,35,41,33
2022-04,14,17,11,13,15,12
2022-07,6,8,5,6,7,5
2022-10,18,22,15,17,19,16
2023-01,46,53,36,42,49,39
2023-04,16,19,13,15,17,14
2023-07,7,9,6,7,8,6
2023-10,21,25,17,19,22,18
2024-01,58,67,43,51,61,47
2024-04,19,23,15,17,20,16
2024-07,8,10,6,8,9,7
2024-10,24,29,19,22,26,20
