Hourly Average AQI Across Central Asian and Middle Eastern Cities (2023)
Air Quality Index (AQI)
Hour,Moscow,Tashkent,Almaty,Istanbul,Tehran
00:00,72,148,128,61,149
01:00,68,143,122,58,143
02:00,65,139,118,55,138
03:00,63,136,115,53,135
04:00,62,134,113,52,133
05:00,64,137,116,54,136
06:00,71,145,124,61,145
07:00,84,159,139,74,161
08:00,93,172,152,83,178
09:00,89,178,158,86,184
10:00,82,174,154,82,181
11:00,76,168,148,77,174
12:00,73,163,143,74,168
13:00,74,164,144,75,169
14:00,76,166,146,76,171
15:00,79,169,149,78,175
16:00,85,174,155,83,181
17:00,94,183,163,91,191
18:00,98,188,167,94,196
19:00,91,180,159,88,187
20:00,85,171,149,81,176
21:00,80,162,141,75,165
22:00,77,156,136,69,158
23:00,74,151,131,64,152
