# title: Annual Mean Precipitation Across the Korean Peninsula
# table_type: spatial_grid
# subject: annual mean precipitation
# unit: millimetres (mm)
# row_axis_name: latitude
# column_axis_name: longitude
Lat (°N),124°E,125°E,126°E,127°E,128°E,129°E,130°E
43°N,450,470,490,520,560,550,510
42°N,510,530,560,590,630,620,580
41°N,590,620,650,680,720,710,670
40°N,680,710,740,780,820,800,760
39°N,810,840,880,930,960,920,870
38°N,940,970,1020,1070,1050,1000,950
37°N,1020,1060,1130,1180,1160,1110,1060
36°N,1100,1150,1210,1260,1240,1190,1140
35°N,1190,1230,1310,1370,1340,1280,1220
34°N,1280,1310,1380,1450,1420,1350,1300
