Simulated Noise Pollution at Key Delhi NCR Locations
Noise levels in dB · Sorted by descending noise level
Location,Lon (°E),Lat (°N),Noise (dB),WHO Category
New Delhi,77.22,28.63,93.8,Dangerous
Gurgaon,77.03,28.46,89.9,Dangerous
Patel Nagar,77.10,28.63,88.3,Dangerous
Anand Vihar,77.30,28.67,86.5,Dangerous
Noida,77.31,28.57,86.5,Dangerous
Rohini,77.15,28.70,84.4,Very High
IGI Airport,77.09,28.56,83.8,Very High
NH-48 South,77.25,28.44,83.0,Very High
Faridabad,77.32,28.41,72.6,High
Ghaziabad,77.43,28.67,60.8,Moderate
