Largest Migration Flow from Each State
Based on IRS migration data (2022–2023),,
Origin State,Top Destination,Migration Volume
CA,TX,"82,481"
NY,NJ,"73,471"
FL,GA,"50,483"
TX,CA,"41,232"
GA,FL,"40,689"
NJ,NY,"38,722"
NC,SC,"32,282"
WA,CA,"27,750"
LA,TX,"27,449"
PA,FL,"27,392"
VA,NC,"26,310"
AZ,CA,"26,082"
SC,NC,"25,354"
NV,CA,"25,024"
IL,FL,"24,958"
OR,WA,"23,898"
MD,VA,"23,697"
CO,TX,"21,783"
OH,FL,"21,767"
MA,FL,"19,927"
KS,MO,"19,555"
OK,TX,"18,390"
MI,FL,"17,716"
MO,KS,"16,927"
TN,FL,"16,593"
IN,IL,"16,199"
AL,GA,"15,500"
undefined,MD,"15,055"
CT,NY,"14,645"
NM,TX,"13,834"
MN,WI,"12,172"
WI,IL,"11,973"
AR,TX,"11,833"
KY,IN,"10,191"
MS,TN,"9,905"
NH,MA,"9,174"
ID,WA,"8,508"
HI,CA,"8,376"
UT,CA,"8,013"
RI,MA,"7,558"
IA,IL,"7,326"
ND,MN,"6,396"
DE,PA,"6,237"
NE,IA,"5,503"
WV,OH,"5,442"
ME,FL,"3,483"
SD,MN,"3,023"
MT,WA,"2,912"
WY,CO,"2,897"
AK,TX,"2,738"
VT,NY,"2,106"
